video_id,title,description,channel_title,tags,published_at,view_count,like_count,comment_count
5gZOYKHXwyQ,Nursery Rhymes for Kids | Songs Compilation - Itsy Bitsy Spider + More Children Songs,"Itsy Bitsy Spider and many more children songs!

Enjoy this compilation of fun kids' songs and nursery rhymes for children, brought to you by Twinkle Little Songs.

Our artists, designers and musicians have put a ton of work into creating these songs, we hope you like them. 

If you do, please consider subscribing to our YouTube channel http://bit.ly/1GtEiez and receive notifications on our latest nursery rhymes and videos!

The rhymes in this video include Itsy Bitsy (Incy Wincy) Spider, Bingo, Hickory Dickory Dock and many more!

We've put together the perfect playlist of songs to keep your baby entertained.

What's your favorite song?

Tell us in the comments below!

Like us Twinkle Little Songs on Facebook: https://www.facebook.com/TwinkleLittleSongs

°°°°°
Nursery rhymes for kids in this compilation:

Itsy Bitsy Spider (Summer)
Bingo
If You're Happy
Daddy Finger Mix
Wheels on the Bus Part 2 (with animals)
One Two Buckle My Shoe
Three Little Kittens
Do You Like? Part 2
This Old Man
Five Little Speckled Frogs
A-tisket A-tasket
Farmer in the Dell
Hickory Dickory Dock
Pat A Cake
Johny Johny Yes Papa
Baa Baa Black Sheep
Five Little Ducks
Five Little Monkeys
Ten in the Bed
Muffin Man
Old Mac Donald
Twinkle Twinkle Little Star
Are You Sleeping?
Hey Diddle Diddle
ABC Song
Miss Polly

°°°°°",Twinkle Little Songs - Nursery Rhymes,"['nursery rhymes', 'songs for kids', 'children songs', 'songs for toddlers', 'songs for babies', 'nursery rhymes one hour', 'kids songs one hour', 'songs to keep children', 'songs to keep baby entertained', 'kids songs playlist', 'children songs playlist', 'itsy bitsy spider', 'incy wincy spider', 'kids songs compilation', 'kids songs collection', 'nursery rhymes for kids', 'nursery rhymes for toddlers', 'nursery rhymes for children', 'nursery rhymes for babies']",2019-07-26T16:15:17Z,66574634,130372,0
LrAtBtQnvCE,Five Little Ducks + More | Kids Songs and Nursery Rhymes | Super Simple Songs,"Get the Super Simple App! ► http://bit.ly/TheSuperSimpleApp 
Five little ducks went out one day, and you'll never guess what happened next!! (SPOILER: They all came back 😊.)  One of the world's most popular nursery rhymes, this Super Simple version of the children's song Five Little Ducks is sung clearly and paced appropriately for very young children, but still a lot of fun for older kids as well. Everyone loves to hear Mother Duck say ""Quack quack quack quack"" 😆. 

PARENTS AND TEACHERS: Thank you so much for watching Super Simple Songs with your families and/or students. Here are some other places to find great Super Simple content:

► SUPER SIMPLE APP -- http://bit.ly/TheSuperSimpleApp Be the first to watch new Super Simple videos in the Super Simple App! Ad-free and designed for young learners.
► YOUTUBE KIDS -- http://bit.ly/You-Tube-Kids Designed to make it safer and simpler for young ones to watch online video, YouTube Kids includes a suite of parental controls so you can tailor the experience to suit your family’s needs.
► AMAZON VIDEO Are you an Amazon Prime member? Watch Super Simple videos ad-free on Amazon Prime Video. Just search for “Super Simple.”

FREE SUPER SIMPLE TEACHING RESOURCES: http://bit.ly/SSFree-Resources

SOCIAL MEDIA: 
Super Simple Newsletter Sign Up: http://bit.ly/SuperSimpleSignUp
Facebook: http://bit.ly/SuperSimpleFacebook
Instagram: http://bit.ly/SuperSimpleInsta
Twitter: http://bit.ly/SuperSimpleTwitter
Pinterest: http://bit.ly/SuperSimplePinterest 
********* 
© Skyship Entertainment Company. All rights reserved. Super Simple, Super Simple Songs, Noodle & Pals, Finny the Shark, Caitie’s Classroom, Rhymington Square, the Bumble Nums, Carl’s Car Wash and associated logos are trademarks of Skyship Entertainment Company.
#supersimple #nurseryrhymes #kidssongs #childrensmusic #funlearningactivities",Super Simple Songs - Kids Songs,"['Five Little Ducks', ""children's songs"", 'Nursery Rhymes', '5 little ducks', 'five little ducks song', 'five little ducks went out one day', 'Super Simple Songs', 'Kids Song', 'Kids Songs', 'Nursery Rhyme', 'twinkle twinkle little star', 'Songs for kids', '5 Little Ducks', '#childrensmusic', '#nurseryrhymes', 'Duck song', 'children', 'five little ducks went swimming one day', '5 duck song', '5 ducks song', '5 ducks went out one day', 'the five little ducks', 'cartoon', 'mother duck song', 'mother duck said quack quack song']",2016-10-08T15:30:00Z,153677235,196925,0
e_04ZrNroTo,Wheels on the Bus | @CoComelon Nursery Rhymes & Kids Songs,"Bounce along in the bus all over town with this favorite nursery rhyme!
https://www.youtube.com/c/Cocomelon?sub_confirmation=1

Lyrics: 

The wheels on the bus go round and round
Round and round
Round and round
The wheels on the bus go round and round
All through the town

The doors on the bus go open and shut
Open and shut
Open and shut
The doors on the bus go open and shut
All through the town

The wipers on the bus go swish, swish, swish
Swish, swish, swish
Swish, swish, swish
The wipers on the bus go swish, swish, swish
All through the town

The signals on the bus go blink, blink, blink
Blink, blink, blink
Blink, blink, blink
The signals on the bus go blink, blink, blink
All through the town

The horn on the bus goes beep, beep, beep
Beep, beep, beep
Beep, beep, beep
The horn on the bus goes beep, beep, beep
All through the town

The motor on the bus goes vroom, vroom vroom
Vroom, vroom, vroom
Vroom, vroom, vroom
The motor on the bus goes vroom, vroom, vroom
All through the town

The people on the bus go up and down
Up and down
Up and down
The people on the bus go up and down
All through the town

The babies on the bus go “Wah, wah, wah!”
“Wah, wah, wah!”
“Wah, wah, wah!” 
The babies on the bus go “Wah, wah, wah!”
All through the town

The mommies on the bus go “Shh, shh, shh!”
“Shh, shh, shh!”
“Shh, shh, shh!”
The mommies on the bus go “Shh, shh, shh!”
All through the town

The daddies on the bus go “I love you!”
“I love you!”
“I love you!”
The daddies on the bus go “I love you!”
All through the town

About Cocomelon:

Where kids can be happy and smart!

At Cocomelon, our goal is to help make learning a fun and enjoyable experience for kids by creating beautiful 3D animation, educational lyrics, and toe-tapping music. 

Kids will laugh, dance, sing, and play along with our videos, learning letters, numbers, animal sounds, colors, and much, much more while simply enjoying our friendly characters and fun stories.

We also make life easier for parents who want to keep their kids happily entertained, giving you the peace of mind that your children are receiving quality educational content.  Our videos also give you an opportunity to teach and play with your children as you both watch!

WEBSITE: http://www.Cocomelon.com
FACEBOOK: https://www.facebook.com/Cocomelonkids
INSTAGRAM: https://www.instagram.com/cocomelon/
TWITTER: https://www.twitter.com/Cocomelonkids


Copyright © Treasure Studio, Inc. All rights reserved.",Cocomelon - Nursery Rhymes,"['preschool', 'toddler', 'children songs', 'abckidtv', 'sing-along songs', 'kindergarten', 'kids entertainment', 'kids education', 'sing-along', 'kids videos', 'kid songs', 'nursery rhymes', 'baby songs', 'JJ', 'kids animation', 'cocomelon']",2018-05-24T07:00:02Z,7519571173,19720765,0
0n_J2z-ILXo,Humpty Dumpty | + More Kids Songs | Super Simple Songs,"Get the Super Simple App! ► http://bit.ly/TheSuperSimpleApp 
Invite your friends and enjoy this collection of modern kids songs and classic nursery rhymes featuring Humpty Dumpty, Baby Shark, Old McDonald and The Bath Song from Super Simple Songs. 

PARENTS AND TEACHERS: Thank you so much for watching Super Simple Songs with your families and/or students. Here are some other places to find great Super Simple content:

► SUPER SIMPLE APP -- http://bit.ly/TheSuperSimpleApp Be the first to watch new Super Simple videos in the Super Simple App! Ad-free and designed for young learners.
► YOUTUBE KIDS -- http://bit.ly/You-Tube-Kids Designed to make it safer and simpler for young ones to watch online video, YouTube Kids includes a suite of parental controls so you can tailor the experience to suit your family’s needs.
► AMAZON VIDEO Are you an Amazon Prime member? Watch Super Simple videos ad-free on Amazon Prime Video. Just search for “Super Simple.”

FREE SUPER SIMPLE TEACHING RESOURCES: http://bit.ly/SSFree-Resources

SOCIAL MEDIA: 
Super Simple Newsletter Sign Up: http://bit.ly/SuperSimpleSignUp
Facebook: http://bit.ly/SuperSimpleFacebook
Instagram: http://bit.ly/SuperSimpleInsta
Twitter: http://bit.ly/SuperSimpleTwitter
Pinterest: http://bit.ly/SuperSimplePinterest 
********* 
© Skyship Entertainment Company. All rights reserved. Super Simple, Super Simple Songs, Noodle & Pals, Finny the Shark, Caitie’s Classroom, Rhymington Square, the Bumble Nums, Carl’s Car Wash and associated logos are trademarks of Skyship Entertainment Company.
#supersimple #nurseryrhymes #kidssongs #childrensmusic #funlearningactivities",Super Simple Songs - Kids Songs,"['kids songs', 'humpty dumpty', 'humpty dumpty kids song', 'humpty dumpty song', 'humpty dumpty nursery rhyme', 'humpty dumpty sat on a wall', 'songs for kids', 'nursery rhymes', 'super simple songs', 'kids videos', 'songs for children', 'educational video', 'fun songs for kids', 'kindergarten', 'preschool songs', 'toddlers', 'songs for toddlers', 'preschoolers', 'children’s songs', 'baby songs', 'for kids', 'for children', 'videos for kids', 'rhyme', 'nursery', 'classic nursery rhymes', 'baby shark', 'old mcdonald', 'the bath song']",2017-11-04T15:30:00Z,110767734,159134,0
buE6l32rCHo,Incy Wincy Spider and More Nursery Rhymes for children! | Children Songs | Toddler Fun Learning,"Watch cute Incy Wincy Spider in this Itsy Bitsy Spider Nursery Rhyme and more nursery rhymes for children.  Watch him climb the water spout followed by 17 fun kids nursery rhymes.  Subscribe if you like our videos http://www.youtube.com/toddlerfunlearning

We don't just make Nursery Rhymes.  We think you'd like our other videos:

Puppy Park: http://bit.ly/1DF39W0

Learn Phonics With The Word Worm: http://bit.ly/1b3na26

Like us on Facebook http://www.facebook.com/toddlerfunlearning

Toddler Fun Learning makes fun, free and educational videos, nursery rhymes and songs for toddlers all over the world.",Toddler Fun Learning,"['itsy bitsy spider', 'itsy bitsy spider nursery rhyme', 'nursery rhymes', 'rhymes', 'abc', 'animals', 'cartoon', 'baby songs', 'song', 'Animation', 'children songs', 'spider', 'kids songs', 'nursery rhymes songs', 'nursery rhyme videos', 'nursery rhymes collection', 'toddler songs']",2015-05-01T11:00:00Z,54762753,74005,0
hxOApe1P9dM,Humpty Dumpty Grocery Store | CoComelon Nursery Rhymes & Kids Songs,"Look at Humpty Dumpty bounce and roll! Nina goes on an epic chase after losing her plastic toy egg from the vending machine in the store.
Subscribe for new videos every week!
https://www.youtube.com/c/CoComelon?sub_confirmation=1
Lyrics:
[GASPS] [GASPS] Wow. [LAUGHS] Yay. [LAUGHS] Yeah. [LAUGHS]
Humpty Dumpty sat on a wall. 
Humpty Dumpty had a great fall. 
All the king's horses and all the king's men 
Couldn't put Humpty together again
Oh. Wow. Wow. Wow. Wow.
Humpty Dumpty sat a wall
Humpty Dumpty had a great fall 
All the king's horses and all the king's men 
Couldn't put Humpty together again
Hmm. Ha.
Ah. Ooh.
Humpty Dumpty sat on a wall
Humpty Dumpty had a great fall
All the king's horses and all the king's men
Couldn't put Humpty together again
Oh. Ha? Ah. Ah ha.
Humpty Dumpty sat on a wall
Ah 
Humpty Dumpty had a great fall 
All the king's horses and all the king's men 
Couldn't put Humpty together again

Music available on all major streaming platforms now:
🍉 https://lnk.to/CoCoCCYTB
🍉 Sign up for the CoCoClub newsletter to access exclusive content, giveaways, and more! https://lnk.to/CCMNews

Watch our playlists: 
Family Fun 
https://www.youtube.com/watch?v=jbBbRjs_niM&list=PLT1rvk7Trkw7odS3
Kids Songs by CoComelon
https://www.youtube.com/watch?v=4t5WI5RF67Y&list=PLT1rvk7Trkw6-eCetnOs60kLGdmcHhyj0tPR-3vMf8CuMJN5gP
JJ & Friends
https://www.youtube.com/watch?v=4t5WI5RF67Y&list=PLT1rvk7Trkw4QbgqgSEJjJz3HIewomqdS
Nursery Rhymes in 3D
https://www.youtube.com/watch?v=z3-Tm_aS3N0&list=PLT1rvk7Trkw55UcI5ijZ_4QmsKqYSSXEq

Website ► https://cocomelon.com/ 
Facebook ►https://www.facebook.com/CoComelonKids 
Instagram ►https://www.instagram.com/cocomelon/ 
TikTok ► https://www.tiktok.com/@cocomelon?lang=en
US Shop ► https://shop.moonbug.com/collections/cocomelon 

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE: http://www.CoComelon.com
FACEBOOK: https://www.facebook.com/CoComelonkids
TWITTER: https://www.twitter.com/CoComelonkids


Copyright Treasure Studio, Inc.  All Rights Reserved.",Cocomelon - Nursery Rhymes,"['cocomelon', 'abckidtv', 'nursery rhymes', 'children songs', 'baby songs', 'kid songs', 'sing-along', 'sing-along songs', 'kids videos', 'kids animation', 'kids entertainment', 'kids education', 'preschool', 'kindergarten', 'toddler', 'JJ', 'humpty dumpty', 'humpty dumpty song', 'cocomelon humpty dumpty', 'nina cocomelon', 'coco baby', 'baby coco', 'play cocomelon on youtube', 'play cocomelon', 'egg toy']",2023-08-22T09:30:16Z,942646909,1382534,0
QA48wTGbU7A,Head Shoulders Knees & Toes | @CoComelon Nursery Rhymes & Kids Songs,"Dance along with this classic nursery rhyme, and have fun learning about all the different body parts!  
Subscribe for new videos every week: https://www.youtube.com/c/cocomelon?sub_confirmation=1

Lyrics:

Head, shoulders, knees and toes
Knees and toes!
Head, shoulders, knees and toes
Knees and toes and 
Eyes and ears and mouth and nose,
Head, shoulders, knees and toes
Knees and toes!

About Cocomelon:

Where kids can be happy and smart!

At Cocomelon, our goal is to help make learning a fun and enjoyable experience for kids by creating beautiful 3D animation, educational lyrics, and toe-tapping music. 

Kids will laugh, dance, sing, and play along with our videos, learning letters, numbers, animal sounds, colors, and much, much more while simply enjoying our friendly characters and fun stories.

We also make life easier for parents who want to keep their kids happily entertained, giving you the peace of mind that your children are receiving quality educational content.  Our videos also give you an opportunity to teach and play with your children as you both watch!

WEBSITE: http://www.Cocomelon.com
FACEBOOK: https://www.facebook.com/Cocomelonkids
INSTAGRAM: https://www.instagram.com/cocomelon/
TWITTER: https://www.twitter.com/Cocomelonkids


Copyright © Treasure Studio, Inc. All rights reserved.",Cocomelon - Nursery Rhymes,"['kids videos', 'abckidtv', 'kindergarten', 'kid songs', 'preschool', 'toddler', 'sing-along songs', 'JJ', 'kids animation', 'nursery rhymes', 'kids education', 'kids entertainment', 'children songs', 'baby songs', 'sing-along', 'cocomelon']",2017-10-03T18:17:08Z,1041919355,1914353,0
